timestamp,x,y
1779961564.415451,516,455
1779961564.432022,516,422
1779961564.448424,492,420
1779961564.465718,495,421
1779961564.482001,508,423
1779961564.500049,506,418
1779961564.515165,486,415
1779961564.531919,489,411
1779961564.547637,454,400
1779961564.565803,467,406
1779961564.581111,424,399
1779961564.597873,433,417
1779961564.616294,401,422
1779961564.632206,367,394
1779961564.646299,339,376
1779961564.663668,306,370
1779961564.679852,290,374
1779961564.696697,275,369
1779961564.711077,249,368
1779961564.729738,261,361
1779961564.744113,236,343
1779961564.761632,263,329
1779961564.776262,255,315
1779961564.792948,261,311
1779961564.808663,253,306
1779961564.825389,258,290
1779961564.842855,243,277
1779961564.857344,258,289
1779961564.873951,266,284
1779961564.890929,271,268
1779961564.906781,215,257
1779961564.923353,173,231
1779961564.941139,195,253
1779961564.957704,184,248
1779961564.974465,204,233
1779961564.991861,215,238
1779961565.005672,228,230
1779961565.021775,195,225
1779961565.038823,190,234
1779961565.056347,189,240
1779961565.072573,187,237
1779961565.091458,188,238
1779961565.108831,208,231
1779961565.125185,212,234
1779961565.143047,249,252
1779961565.157769,214,237
1779961565.175353,233,248
1779961565.190063,227,246
1779961565.208478,252,240
1779961565.22312,250,225
1779961565.241838,290,242
1779961565.256249,263,245
1779961565.274348,286,252
1779961565.28973,271,252
1779961565.306412,283,247
1779961565.321156,292,246
1779961565.338955,294,243
1779961565.352455,312,226
1779961565.375264,268,221
1779961565.38976,256,209
1779961565.405799,263,200
1779961565.421126,280,215
1779961565.437766,301,223
1779961565.459021,301,214
1779961565.472743,307,218
1779961565.49085,338,227
1779961565.507268,345,228
1779961565.524618,365,217
1779961565.539516,367,215
1779961565.555801,377,184
1779961565.573626,380,170
1779961565.590716,398,162
1779961565.61,414,159
1779961565.625295,438,163
1779961565.640467,430,160
1779961565.658033,442,162
1779961565.676413,422,171
1779961565.691701,421,174
1779961565.708897,430,181
1779961565.723417,438,189
1779961565.740977,448,194
1779961565.755979,441,200
1779961565.772355,434,227
1779961565.787343,446,240
1779961565.805221,433,235
1779961565.82028,444,236
1779961565.837629,451,238
1779961565.853579,437,231
1779961565.871262,442,256
1779961565.887433,437,252
1779961565.905259,438,267
1779961566.201633,582,1095
1779961566.218067,171,2484
1779961566.23453,226,1495
1779961566.251227,230,1089
1779961566.269697,253,904
1779961566.288497,242,811
1779961566.302283,139,682
1779961566.322828,155,589
1779961566.338739,233,565
1779961566.355305,195,523
1779961566.371634,164,467
1779961566.391296,152,373
1779961566.405288,180,334
1779961566.425159,167,320
1779961566.440083,193,349
1779961566.460193,185,347
1779961566.476811,215,347
1779961566.494163,241,314
1779961566.511184,259,247
1779961566.526348,313,206
1779961566.541793,313,179
1779961566.560148,306,183
1779961566.574247,300,198
