timestamp,x,y
1778752221.152722,1767,497
1778752221.170482,1737,451
1778752221.187069,1757,425
1778752221.203075,1692,397
1778752221.222182,1668,383
1778752221.237296,1616,394
1778752221.258054,1669,388
1778752221.271851,1716,409
1778752221.293656,1693,381
1778752221.308276,1676,346
1778752221.325976,1692,357
1778752221.339222,1668,344
1778752221.357699,1655,309
1778752221.374442,1667,324
1778752221.389243,1660,315
1778752221.403936,1661,318
1778752221.424466,1634,301
1778752221.4397,1665,280
1778752221.457209,1638,246
1778752221.473066,1591,245
1778752221.48931,1585,231
1778752221.505052,1571,262
1778752221.521206,1526,271
1778752221.53845,1532,289
1778752221.554568,1468,289
1778752221.571545,1489,303
1778752221.588442,1442,299
1778752221.604952,1378,265
1778752221.628989,1342,259
1778752221.645316,1319,253
1778752221.662558,1219,219
1778752221.68044,1199,212
1778752221.696725,1182,177
1778752221.713684,1180,184
1778752221.730939,1077,132
1778752221.745545,1070,137
1778752221.76291,1074,117
1778752221.780599,1079,100
1778752221.796617,1072,92
1778752221.81406,1017,87
1778752221.830341,1031,111
1778752221.849185,1019,79
1778752221.863063,1024,106
1778752221.880476,995,67
1778752221.896578,1043,100
1778752221.914638,1050,106
1778752221.929291,1043,83
1778752221.946158,1050,93
1778752221.963627,1050,81
1778752221.979041,1066,95
1778752221.994966,1047,74
1778752222.010814,1045,72
1778752222.0271,1048,88
1778752222.042757,1081,116
1778752222.061662,1120,138
1778752222.075657,1095,107
1778752222.094399,1166,138
1778752222.111543,1213,158
1778752222.127215,1315,189
1778752222.142092,1287,173
1778752222.158544,1370,203
1778752222.1755,1400,219
1778752222.191814,1454,256
1778752222.211344,1416,245
1778752222.226008,1513,282
1778752222.242759,1484,271
1778752222.259253,1518,290
1778752222.279293,1526,294
1778752222.293633,1517,278
1778752222.312401,1546,311
1778752222.328127,1533,302
1778752222.34494,1553,325
1778752222.361568,1538,326
1778752222.37819,1541,357
1778752222.396542,1500,336
1778752222.411121,1472,333
1778752222.428075,1481,326
1778752222.442896,1507,336
1778752222.462243,1509,339
1778752222.477973,1542,363
1778752222.495333,1551,352
